iter	Passed	Remaining
530	26366	23287
531	26426	23247
532	26492	23211
533	26549	23168
534	26600	23120
535	26648	23068
536	26696	23017
537	26744	22966
538	26799	22921
539	26852	22874
540	26898	22821
541	26952	22775
542	27003	22726
543	27056	22679
544	27103	22627
545	27151	22576
546	27200	22525
547	27252	22478
548	27308	22433
549	27361	22386
550	27407	22334
551	27449	22277
552	27501	22229
553	27558	22186
554	27613	22140
555	27662	22090
556	27721	22047
557	27780	22005
558	27837	21961
559	27891	21914
560	27940	21864
561	27996	21819
562	28048	21770
563	28101	21724
564	28151	21673
565	28198	21622
566	28244	21569
567	28300	21523
568	28346	21471
569	28399	21424
570	28446	21371
571	28494	21320
572	28545	21272
573	28604	21229
574	28655	21179
575	28705	21130
576	28734	21065
577	28782	21014
578	28828	20961
579	28881	20914
580	28920	20856
581	28968	20805
582	29017	20755
583	29067	20705
584	29117	20655
585	29172	20609
586	29223	20560
587	29278	20514
588	29329	20466
589	29378	20415
590	29434	20370
591	29485	20321
592	29540	20274
593	29586	20222
594	29623	20164
595	29684	20121
596	29733	20071
597	29779	20019
598	29832	19971
599	29881	19920
600	29927	19868
601	29982	19822
602	30019	19763
603	30069	19714
604	30117	19663
605	30166	19612
606	30216	19563
607	30266	19513
608	30317	19465
609	30371	19417
610	30423	19369
611	30474	19320
612	30523	19270
613	30574	19221
614	30628	19173
615	30684	19128
616	30733	19077
617	30785	19028
618	30834	18979
619	30886	18930
620	30944	18885
621	30971	18821
622	31021	18772
623	31076	18725
624	31126	18675
625	31172	18623
626	31221	18573
627	31270	18523
628	31319	18473
629	31368	18422
630	31418	18372
631	31454	18315
632	31479	18251
633	31528	18200
634	31554	18137
635	31608	18090
636	31644	18032
637	31691	17981
638	31740	17931
639	31788	17881
640	31838	17831
641	31888	17781
642	31934	17730
643	31974	17675
644	32026	17627
645	32082	17580
646	32121	17525
647	32176	17478
648	32229	17430
649	32276	17379
650	32331	17332
651	32391	17288
652	32476	17257
653	32550	17220
654	32609	17175
655	32672	17133
656	32724	17084
657	32787	17041
658	32840	16993
659	32880	16938
660	32927	16887
661	32976	16837
662	33034	16791
663	33081	16739
664	33129	16689
665	33182	16641
666	33242	16596
667	33300	16550
668	33358	16504
669	33410	16455
670	33460	16406
671	33487	16345
672	33538	16295
673	33570	16237
674	33625	16190
675	33685	16144
676	33732	16094
677	33784	16045
678	33837	15996
679	33873	15940
680	33897	15878
681	33942	15826
682	33991	15776
683	34037	15724
684	34088	15675
685	34144	15628
686	34174	15569
687	34218	15517
688	34268	15467
689	34300	15410
690	34347	15359
691	34390	15306
692	34435	15254
693	34482	15204
694	34525	15151
695	34575	15101
696	34621	15050
697	34667	14999
698	34715	14949
699	34760	14897
700	34809	14847
701	34836	14788
702	34886	14738
703	34921	14682
704	34950	14624
705	34995	14573
706	35042	14522
707	35088	14471
708	35120	14414
709	35168	14364
710	35220	14316
711	35251	14258
712	35276	14199
713	35327	14150
714	35372	14099
715	35423	14050
716	35470	14000
717	35517	13949
718	35572	13902
719	35622	13853
